date,O3,CO,NO2,SO2
2026-08-04,0.1176466749774085,0.0311986026575877,,-7.081494732119609e-05
2026-08-05,0.1191214652525054,0.0301907252520322,,
2026-08-02,0.1200188281280653,,3.066386038881319e-05,
2026-08-03,0.1194331925776269,0.0345212842027346,2.000639548949788e-05,3.095064969437815e-06
2025-12-04,0.1149313684966829,0.0320043535696135,,0.0001163052159224
2025-12-05,0.1156367253926065,0.0277686927181023,,0.0001311237396815
2025-12-02,0.1138439630468686,0.0307800355884763,3.2661730074323714e-05,0.0004031899006804
2025-12-06,0.1149376043015056,0.0275014352730729,2.0102525922993664e-05,-4.779741548190941e-05
2025-12-09,0.1159922902782758,0.0248635951429605,,-1.0805316617877813e-05
2025-12-08,0.1150385230779647,0.0300863645970821,8.318821301145363e-06,3.546988787598416e-05
2025-12-03,0.1161258828308847,0.0240342562397321,2.2782744882586205e-05,1.1793602041305144e-05
2025-12-07,0.1140347719192504,,2.469721595035581e-05,0.0002086826195106
2026-03-19,0.1127707115477985,0.0305311346257274,,
2026-03-16,0.1146974861621856,,1.1550605984880617e-05,-0.0006278647924773
2026-03-21,0.1136927718917528,0.0305595598428657,4.004401489510201e-05,
2026-03-22,0.1147565593322118,0.0262491785159165,,1.9497088700859425e-05
2026-03-23,0.116136679218875,0.0297924871659941,9.854846211965196e-06,
2026-03-20,0.1152782504757245,0.0316255860538645,,3.002408921020105e-05
2026-03-17,0.1143345283137427,0.031727805098688,2.289969179400941e-05,2.4883603241744967e-05
2026-03-18,0.1138931011160214,0.0293181189646323,2.994851173181899e-05,-5.640470712364731e-05
2025-12-15,0.1164959162473678,,2.0261939405165982e-05,0.0002454540724506
2025-12-10,0.1160233603583441,0.0305131597910076,,0.0005442632730895
2025-12-16,0.114664606253306,,2.3635633182051163e-05,9.689175109694284e-05
2025-12-17,0.1158921852707862,0.0324986712741,3.395992478710303e-05,9.563946559865144e-05
2025-12-12,0.1139901936054229,0.0261093800266583,3.437706962702922e-05,-6.622015378828413e-06
2025-12-13,0.1135529599255985,0.0279809567146003,2.1487776063043963e-05,9.604918208113792e-05
2025-12-11,0.115313657787111,0.0333279171762497,2.787322092592868e-05,7.742713558198173e-05
2025-12-14,0.1165130727820926,,2.098267016621817e-05,
2026-03-03,0.1135738632745212,0.0251257637781756,2.5431656045940247e-05,4.621661013920352e-05
2026-03-05,0.1130743632713953,,2.583342062381336e-05,5.984083379896927e-05
2026-03-06,0.1155324510402149,0.02959691750055,2.047256569426281e-05,0.0001030573540017
2026-03-02,0.1145351906617482,0.026600458452271,2.3609808390813813e-05,-2.4180020530324825e-05
2026-03-01,0.1140728089544508,0.0290571743445027,,-1.7139245502758886e-05
2026-03-04,0.1136311435037189,0.0223038007039576,2.0162607917175432e-05,0.0003296844765414
2026-02-28,0.1131381904085477,0.0300832384011962,4.0505103099444806e-05,-0.0002203991566061
2026-03-07,0.1157975461747911,0.0268950983281097,3.184968562790245e-05,-2.230116154221053e-05
2026-06-06,0.1167979349692662,,2.973374862954693e-05,0.0002832335558196
2026-06-11,0.1175921503040525,0.0297598633915185,3.380967929401915e-05,-4.997893765334993e-05
2026-06-05,0.1167300244172414,0.0275143932196356,5.3153511140004e-05,
2026-06-07,0.1165478221244282,,3.8408660839195366e-05,0.0004628461927899
